target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
  -9.58,   0.27,  -0.13, time =   32.55
  -9.58,   0.18,  -0.14, time =   32.65
  -9.59,   0.10,  -0.16, time =   32.75
  -9.59,   0.01,  -0.18, time =   32.85
  -9.60,  -0.08,  -0.19, time =   32.95
  -9.59,  -0.17,  -0.19, time =   33.05
  -9.59,  -0.25,  -0.18, time =   33.15
  -9.57,  -0.33,  -0.17, time =   33.25
  -9.55,  -0.40,  -0.16, time =   33.35
  -9.52,  -0.45,  -0.14, time =   33.45
  -9.48,  -0.48,  -0.10, time =   33.55
  -9.44,  -0.49,  -0.04, time =   33.65
  -9.41,  -0.48,   0.01, time =   33.75
  -9.37,  -0.44,   0.04, time =   33.85
  -9.35,  -0.39,   0.06, time =   33.95
  -9.33,  -0.33,   0.07, time =   34.05
  -9.31,  -0.25,   0.09, time =   34.15
  -9.31,  -0.18,   0.11, time =   34.25
  -9.31,  -0.09,   0.14, time =   34.35
  -9.31,  -0.00,   0.18, time =   34.45
  -9.32,   0.09,   0.22, time =   34.55
  -9.32,   0.18,   0.26, time =   34.65
  -9.33,   0.27,   0.29, time =   34.75
  -9.33,   0.37,   0.31, time =   34.85
  -9.34,   0.45,   0.32, time =   34.95
  -9.33,   0.54,   0.30, time =   35.05
  -9.33,   0.61,   0.26, time =   35.15
  -9.31,   0.67,   0.20, time =   35.25
  -9.29,   0.71,   0.10, time =   35.35
  -9.27,   0.74,   0.00, time =   35.45
  -9.25,   0.75,  -0.10, time =   35.55
  -9.22,   0.74,  -0.17, time =   35.65
  -9.19,   0.72,  -0.20, time =   35.75
  -9.17,   0.68,  -0.21, time =   35.85
  -9.15,   0.63,  -0.22, time =   35.95
  -9.13,   0.57,  -0.21, time =   36.05
  -9.12,   0.50,  -0.20, time =   36.15
  -9.11,   0.43,  -0.19, time =   36.25
  -9.10,   0.35,  -0.17, time =   36.35
  -9.10,   0.27,  -0.16, time =   36.45
  -9.11,   0.18,  -0.16, time =   36.55
  -9.11,   0.09,  -0.17, time =   36.65
  -9.12,   0.01,  -0.18, time =   36.75
  -9.12,  -0.08,  -0.20, time =   36.85
  -9.13,  -0.17,  -0.20, time =   36.95
  -9.12,  -0.26,  -0.20, time =   37.05
  -9.12,  -0.34,  -0.20, time =   37.15
  -9.10,  -0.41,  -0.19, time =   37.25
  -9.08,  -0.48,  -0.18, time =   37.35
  -9.05,  -0.52,  -0.15, time =   37.45
  -9.01,  -0.55,  -0.11, time =   37.55
  -8.98,  -0.56,  -0.05, time =   37.65
  -8.94,  -0.55,   0.01, time =   37.75
  -8.91,  -0.52,   0.04, time =   37.85
  -8.88,  -0.47,   0.06, time =   37.95
  -8.86,  -0.41,   0.07, time =   38.05
  -8.85,  -0.34,   0.08, time =   38.15
  -8.84,  -0.27,   0.09, time =   38.25
  -8.84,  -0.19,   0.11, time =   38.35
  -8.84,  -0.11,   0.13, time =   38.45
  -8.85,  -0.02,   0.16, time =   38.55
  -8.86,   0.07,   0.19, time =   38.65
  -8.86,   0.16,   0.23, time =   38.75
  -8.87,   0.25,   0.26, time =   38.85
  -8.87,   0.34,   0.27, time =   38.95
  -8.86,   0.43,   0.27, time =   39.05
  -8.85,   0.50,   0.25, time =   39.15
  -8.84,   0.57,   0.19, time =   39.25
  -8.82,   0.62,   0.11, time =   39.35
  -8.79,   0.65,   0.00, time =   39.45
  -8.76,   0.66,  -0.12, time =   39.55
  -8.72,   0.64,  -0.22, time =   39.65
  -8.69,   0.61,  -0.27, time =   39.75
  -8.67,   0.56,  -0.30, time =   39.85
  -8.64,   0.49,  -0.32, time =   39.95
  -8.63,   0.41,  -0.32, time =   40.05
  -8.62,   0.32,  -0.31, time =   40.15
  -8.62,   0.22,  -0.29, time =   40.25
  -8.62,   0.12,  -0.27, time =   40.35
  -8.62,   0.03,  -0.26, time =   40.45
  -8.63,  -0.07,  -0.26, time =   40.55
  -8.64,  -0.17,  -0.26, time =   40.65
  -8.65,  -0.26,  -0.26, time =   40.75
  -8.65,  -0.35,  -0.26, time =   40.85
  -8.65,  -0.43,  -0.25, time =   40.95
  -8.65,  -0.51,  -0.25, time =   41.05
  -8.64,  -0.58,  -0.23, time =   41.15
  -8.63,  -0.64,  -0.21, time =   41.25
  -8.61,  -0.69,  -0.16, time =   41.35
  -8.59,  -0.73,  -0.10, time =   41.45
  -8.57,  -0.75,  -0.03, time =   41.55
  -8.54,  -0.75,   0.03, time =   41.65
  -8.51,  -0.74,   0.09, time =   41.75
  -8.49,  -0.71,   0.12, time =   41.85
  -8.46,  -0.67,   0.14, time =   41.95
  -8.45,  -0.61,   0.14, time =   42.05
  -8.43,  -0.55,   0.14, time =   42.15
  -8.42,  -0.48,   0.14, time =   42.25
  -8.42,  -0.41,   0.14, time =   42.35
  -8.42,  -0.33,   0.15, time =   42.45
  -8.43,  -0.25,   0.16, time =   42.55
  -8.43,  -0.17,   0.18, time =   42.65
  -8.44,  -0.08,   0.20, time =   42.75
  -8.45,   0.01,   0.22, time =   42.85
  -8.46,   0.11,   0.24, time =   42.95
  -8.46,   0.20,   0.25, time =   43.05
  -8.45,   0.29,   0.27, time =   43.15
  -8.44,   0.38,   0.28, time =   43.25
  -8.42,   0.45,   0.27, time =   43.35
  -8.40,   0.51,   0.23, time =   43.45
  -8.37,   0.56,   0.18, time =   43.55
  -8.33,   0.58,   0.11, time =   43.65
  -8.29,   0.57,   0.04, time =   43.75
  -8.26,   0.54,  -0.05, time =   43.85
  -8.23,   0.49,  -0.17, time =   43.95
  -8.21,   0.42,  -0.26, time =   44.05
  -8.20,   0.33,  -0.32, time =   44.15
  -8.19,   0.24,  -0.35, time =   44.25
  -8.20,   0.13,  -0.38, time =   44.35
  -8.21,   0.03,  -0.39, time =   44.45
  -8.22,  -0.08,  -0.39, time =   44.55
  -8.23,  -0.19,  -0.38, time =   44.65
  -8.24,  -0.29,  -0.37, time =   44.75
  -8.25,  -0.39,  -0.35, time =   44.85
  -8.26,  -0.48,  -0.33, time =   44.95
  -8.26,  -0.57,  -0.32, time =   45.05
  -8.26,  -0.64,  -0.30, time =   45.15
  -8.25,  -0.71,  -0.27, time =   45.25
  -8.24,  -0.76,  -0.22, time =   45.35
  -8.22,  -0.81,  -0.16, time =   45.45
  -8.20,  -0.84,  -0.08, time =   45.55
  -8.18,  -0.85,  -0.01, time =   45.65
  -8.16,  -0.85,   0.05, time =   45.75
  -8.13,  -0.83,   0.09, time =   45.85
  -8.11,  -0.80,   0.12, time =   45.95
  -8.09,  -0.76,   0.13, time =   46.05
  -8.08,  -0.71,   0.13, time =   46.15
  -8.06,  -0.66,   0.14, time =   46.25
  -8.06,  -0.59,   0.14, time =   46.35
  -8.05,  -0.53,   0.14, time =   46.45
  -8.06,  -0.46,   0.14, time =   46.55
  -8.06,  -0.38,   0.14, time =   46.65
  -8.07,  -0.30,   0.14, time =   46.75
  -8.08,  -0.22,   0.15, time =   46.85
  -8.09,  -0.13,   0.16, time =   46.95
  -8.10,  -0.04,   0.18, time =   47.05
  -8.11,   0.05,   0.23, time =   47.15
  -8.11,   0.14,   0.28, time =   47.25
  -8.11,   0.24,   0.34, time =   47.35
  -8.10,   0.33,   0.38, time =   47.45
  -8.08,   0.42,   0.40, time =   47.55
  -8.05,   0.48,   0.37, time =   47.65
  -8.01,   0.53,   0.33, time =   47.75
  -7.98,   0.55,   0.28, time =   47.85
  -7.94,   0.55,   0.24, time =   47.95
  -7.91,   0.53,   0.18, time =   48.05
  -7.89,   0.49,   0.11, time =   48.15
  -7.87,   0.44,   0.04, time =   48.25
  -7.86,   0.37,  -0.04, time =   48.35
  -7.85,   0.30,  -0.11, time =   48.45
  -7.86,   0.21,  -0.19, time =   48.55
  -7.86,   0.12,  -0.27, time =   48.65
  -7.87,   0.02,  -0.35, time =   48.75
  -7.88,  -0.08,  -0.41, time =   48.85
  -7.90,  -0.19,  -0.44, time =   48.95
  -7.91,  -0.30,  -0.45, time =   49.05
  -7.91,  -0.40,  -0.44, time =   49.15
  -7.92,  -0.50,  -0.42, time =   49.25
  -7.91,  -0.58,  -0.39, time =   49.35
  -7.90,  -0.66,  -0.36, time =   49.45
