target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -11.50,  -0.31,  -0.05, time =   27.20
 -11.47,  -0.26,  -0.09, time =   27.30
 -11.46,  -0.20,  -0.11, time =   27.40
 -11.45,  -0.14,  -0.12, time =   27.50
 -11.44,  -0.08,  -0.15, time =   27.60
 -11.44,  -0.02,  -0.20, time =   27.70
 -11.45,   0.04,  -0.24, time =   27.80
 -11.45,   0.09,  -0.26, time =   27.90
 -11.45,   0.14,  -0.27, time =   28.00
 -11.46,   0.19,  -0.27, time =   28.10
 -11.46,   0.24,  -0.25, time =   28.20
 -11.45,   0.29,  -0.23, time =   28.30
 -11.45,   0.34,  -0.19, time =   28.40
 -11.43,   0.38,  -0.14, time =   28.50
 -11.41,   0.43,  -0.09, time =   28.60
 -11.38,   0.46,  -0.08, time =   28.70
 -11.35,   0.48,  -0.08, time =   28.80
 -11.31,   0.48,  -0.03, time =   28.90
 -11.28,   0.47,   0.07, time =   29.00
 -11.24,   0.44,   0.04, time =   29.10
 -11.22,   0.41,   0.10, time =   29.20
 -11.20,   0.37,   0.18, time =   29.30
 -11.18,   0.32,   0.25, time =   29.40
 -11.17,   0.28,   0.28, time =   29.50
 -11.17,   0.23,   0.28, time =   29.60
 -11.17,   0.18,   0.26, time =   29.70
 -11.18,   0.13,   0.22, time =   29.80
 -11.18,   0.07,   0.17, time =   29.90
 -11.18,   0.01,   0.13, time =   30.00
 -11.18,  -0.06,   0.09, time =   30.10
 -11.18,  -0.12,   0.08, time =   30.20
 -11.18,  -0.19,   0.09, time =   30.30
 -11.16,  -0.25,   0.13, time =   30.40
 -11.15,  -0.29,   0.20, time =   30.50
 -11.12,  -0.33,   0.25, time =   30.60
 -11.10,  -0.34,   0.25, time =   30.70
 -11.06,  -0.35,   0.14, time =   30.80
 -11.02,  -0.34,   0.05, time =   30.90
 -10.99,  -0.31,   0.01, time =   31.00
 -10.96,  -0.27,  -0.05, time =   31.10
 -10.94,  -0.23,  -0.14, time =   31.20
 -10.92,  -0.17,  -0.20, time =   31.30
 -10.91,  -0.12,  -0.24, time =   31.40
 -10.91,  -0.07,  -0.27, time =   31.50
 -10.91,  -0.01,  -0.28, time =   31.60
 -10.92,   0.04,  -0.27, time =   31.70
 -10.92,   0.09,  -0.24, time =   31.80
 -10.93,   0.15,  -0.22, time =   31.90
 -10.93,   0.20,  -0.20, time =   32.00
 -10.93,   0.26,  -0.17, time =   32.10
 -10.93,   0.31,  -0.14, time =   32.20
 -10.92,   0.37,  -0.11, time =   32.30
 -10.90,   0.42,  -0.07, time =   32.40
 -10.88,   0.46,  -0.05, time =   32.50
 -10.85,   0.50,  -0.07, time =   32.60
 -10.82,   0.52,  -0.08, time =   32.70
 -10.78,   0.52,   0.03, time =   32.80
 -10.75,   0.52,   0.13, time =   32.90
 -10.72,   0.51,   0.10, time =   33.00
 -10.69,   0.48,   0.14, time =   33.10
 -10.67,   0.45,   0.21, time =   33.20
 -10.65,   0.41,   0.25, time =   33.30
 -10.64,   0.37,   0.27, time =   33.40
 -10.64,   0.32,   0.26, time =   33.50
 -10.64,   0.27,   0.23, time =   33.60
 -10.64,   0.22,   0.17, time =   33.70
 -10.65,   0.16,   0.10, time =   33.80
 -10.65,   0.09,   0.04, time =   33.90
 -10.65,   0.02,  -0.01, time =   34.00
 -10.65,  -0.06,  -0.03, time =   34.10
 -10.65,  -0.13,  -0.01, time =   34.20
 -10.64,  -0.20,   0.04, time =   34.30
 -10.62,  -0.26,   0.10, time =   34.40
 -10.60,  -0.31,   0.19, time =   34.50
 -10.57,  -0.33,   0.25, time =   34.60
 -10.54,  -0.34,   0.20, time =   34.70
 -10.50,  -0.33,   0.10, time =   34.80
 -10.47,  -0.30,   0.09, time =   34.90
 -10.43,  -0.26,  -0.01, time =   35.00
 -10.41,  -0.21,  -0.14, time =   35.10
 -10.39,  -0.16,  -0.24, time =   35.20
 -10.39,  -0.11,  -0.33, time =   35.30
 -10.39,  -0.06,  -0.40, time =   35.40
 -10.39,  -0.02,  -0.45, time =   35.50
 -10.40,   0.02,  -0.46, time =   35.60
 -10.41,   0.06,  -0.45, time =   35.70
 -10.42,   0.10,  -0.42, time =   35.80
 -10.43,   0.14,  -0.38, time =   35.90
 -10.44,   0.19,  -0.34, time =   36.00
 -10.44,   0.23,  -0.29, time =   36.10
 -10.44,   0.28,  -0.25, time =   36.20
 -10.43,   0.33,  -0.21, time =   36.30
 -10.41,   0.37,  -0.18, time =   36.40
 -10.39,   0.41,  -0.17, time =   36.50
 -10.36,   0.44,  -0.10, time =   36.60
 -10.33,   0.46,   0.04, time =   36.70
 -10.29,   0.47,   0.13, time =   36.80
 -10.25,   0.47,   0.18, time =   36.90
 -10.22,   0.45,   0.18, time =   37.00
 -10.19,   0.43,   0.20, time =   37.10
 -10.17,   0.39,   0.22, time =   37.20
 -10.16,   0.35,   0.23, time =   37.30
 -10.15,   0.30,   0.20, time =   37.40
 -10.15,   0.24,   0.15, time =   37.50
 -10.15,   0.18,   0.09, time =   37.60
 -10.15,   0.11,   0.03, time =   37.70
 -10.16,   0.04,  -0.02, time =   37.80
 -10.16,  -0.04,  -0.06, time =   37.90
 -10.16,  -0.12,  -0.09, time =   38.00
 -10.16,  -0.20,  -0.08, time =   38.10
 -10.15,  -0.27,  -0.05, time =   38.20
 -10.14,  -0.34,  -0.01, time =   38.30
 -10.12,  -0.39,   0.04, time =   38.40
 -10.09,  -0.43,   0.09, time =   38.50
 -10.05,  -0.45,   0.13, time =   38.60
 -10.02,  -0.46,   0.09, time =   38.70
  -9.98,  -0.44,   0.16, time =   38.80
  -9.94,  -0.40,   0.08, time =   38.90
  -9.91,  -0.36,  -0.01, time =   39.00
  -9.89,  -0.31,  -0.10, time =   39.10
  -9.87,  -0.25,  -0.13, time =   39.20
  -9.87,  -0.19,  -0.12, time =   39.30
  -9.86,  -0.13,  -0.11, time =   39.40
  -9.86,  -0.06,  -0.10, time =   39.50
  -9.86,   0.00,  -0.08, time =   39.60
  -9.87,   0.07,  -0.05, time =   39.70
  -9.87,   0.14,  -0.02, time =   39.80
  -9.87,   0.22,   0.01, time =   39.90
  -9.87,   0.29,   0.02, time =   40.00
  -9.87,   0.35,   0.03, time =   40.10
  -9.85,   0.42,   0.04, time =   40.20
  -9.84,   0.47,   0.02, time =   40.30
  -9.81,   0.52,  -0.01, time =   40.40
  -9.78,   0.55,  -0.02, time =   40.50
  -9.75,   0.57,   0.05, time =   40.60
  -9.71,   0.58,   0.12, time =   40.70
  -9.68,   0.57,   0.10, time =   40.80
  -9.65,   0.55,   0.08, time =   40.90
  -9.62,   0.51,   0.05, time =   41.00
  -9.60,   0.46,  -0.01, time =   41.10
  -9.59,   0.40,  -0.07, time =   41.20
  -9.58,   0.33,  -0.10, time =   41.30
  -9.58,   0.25,  -0.13, time =   41.40
  -9.58,   0.17,  -0.17, time =   41.50
  -9.58,   0.08,  -0.20, time =   41.60
  -9.59,  -0.01,  -0.23, time =   41.70
  -9.60,  -0.11,  -0.24, time =   41.80
  -9.60,  -0.20,  -0.23, time =   41.90
  -9.60,  -0.28,  -0.20, time =   42.00
  -9.59,  -0.36,  -0.16, time =   42.10
  -9.58,  -0.43,  -0.14, time =   42.20
  -9.56,  -0.49,  -0.13, time =   42.30
  -9.53,  -0.54,  -0.14, time =   42.40
  -9.50,  -0.58,  -0.15, time =   42.50
  -9.47,  -0.60,  -0.16, time =   42.60
  -9.44,  -0.61,  -0.09, time =   42.70
  -9.40,  -0.59,  -0.06, time =   42.80
  -9.38,  -0.57,  -0.05, time =   42.90
  -9.35,  -0.53,  -0.07, time =   43.00
  -9.34,  -0.48,  -0.04, time =   43.10
  -9.33,  -0.43,   0.01, time =   43.20
  -9.32,  -0.36,   0.06, time =   43.30
  -9.32,  -0.29,   0.10, time =   43.40
  -9.32,  -0.21,   0.14, time =   43.50
  -9.33,  -0.12,   0.16, time =   43.60
  -9.33,  -0.03,   0.18, time =   43.70
  -9.34,   0.05,   0.18, time =   43.80
  -9.34,   0.14,   0.17, time =   43.90
  -9.34,   0.23,   0.16, time =   44.00
  -9.33,   0.31,   0.14, time =   44.10
  -9.32,   0.38,   0.12, time =   44.20
  -9.29,   0.44,   0.07, time =   44.30
  -9.26,   0.48,   0.07, time =   44.40
  -9.23,   0.52,   0.19, time =   44.50
  -9.19,   0.54,   0.18, time =   44.60
  -9.16,   0.54,   0.10, time =   44.70
  -9.12,   0.52,   0.04, time =   44.80
  -9.10,   0.48,   0.02, time =   44.90
  -9.07,   0.43,   0.00, time =   45.00
  -9.06,   0.37,  -0.02, time =   45.10
  -9.05,   0.30,  -0.03, time =   45.20
  -9.05,   0.22,  -0.05, time =   45.30
  -9.05,   0.14,  -0.08, time =   45.40
  -9.05,   0.06,  -0.13, time =   45.50
  -9.06,  -0.03,  -0.19, time =   45.60
  -9.06,  -0.12,  -0.24, time =   45.70
  -9.07,  -0.21,  -0.28, time =   45.80
  -9.07,  -0.30,  -0.29, time =   45.90
  -9.07,  -0.39,  -0.28, time =   46.00
  -9.06,  -0.47,  -0.26, time =   46.10
  -9.04,  -0.54,  -0.25, time =   46.20
  -9.02,  -0.60,  -0.26, time =   46.30
  -9.00,  -0.64,  -0.28, time =   46.40
  -8.98,  -0.68,  -0.30, time =   46.50
  -8.95,  -0.71,  -0.22, time =   46.60
  -8.92,  -0.71,  -0.19, time =   46.70
  -8.90,  -0.71,  -0.16, time =   46.80
  -8.88,  -0.69,  -0.13, time =   46.90
  -8.86,  -0.65,  -0.09, time =   47.00
  -8.85,  -0.61,  -0.03, time =   47.10
  -8.84,  -0.56,   0.04, time =   47.20
  -8.83,  -0.50,   0.10, time =   47.30
  -8.84,  -0.43,   0.15, time =   47.40
  -8.84,  -0.35,   0.18, time =   47.50
  -8.85,  -0.27,   0.20, time =   47.60
  -8.86,  -0.18,   0.21, time =   47.70
  -8.87,  -0.09,   0.21, time =   47.80
  -8.87,   0.00,   0.19, time =   47.90
  -8.88,   0.09,   0.17, time =   48.00
  -8.87,   0.18,   0.14, time =   48.10
  -8.86,   0.26,   0.13, time =   48.20
  -8.84,   0.33,   0.14, time =   48.30
  -8.81,   0.39,   0.16, time =   48.40
  -8.78,   0.44,   0.32, time =   48.50
  -8.74,   0.48,   0.33, time =   48.60
  -8.71,   0.49,   0.26, time =   48.70
  -8.68,   0.48,   0.29, time =   48.80
  -8.65,   0.47,   0.38, time =   48.90
  -8.63,   0.45,   0.45, time =   49.00
  -8.63,   0.42,   0.46, time =   49.10
  -8.62,   0.39,   0.44, time =   49.20
  -8.62,   0.36,   0.38, time =   49.30
  -8.63,   0.32,   0.30, time =   49.40
  -8.63,   0.27,   0.22, time =   49.50
  -8.64,   0.21,   0.14, time =   49.60
  -8.65,   0.15,   0.06, time =   49.70
  -8.65,   0.07,  -0.03, time =   49.80
  -8.66,  -0.01,  -0.09, time =   49.90
  -8.66,  -0.09,  -0.12, time =   50.00
  -8.66,  -0.17,  -0.10, time =   50.10
  -8.65,  -0.25,  -0.04, time =   50.20
  -8.63,  -0.31,   0.01, time =   50.30
  -8.60,  -0.36,   0.06, time =   50.40
  -8.57,  -0.39,   0.08, time =   50.50
  -8.53,  -0.40,   0.05, time =   50.60
  -8.49,  -0.38,   0.11, time =   50.70
  -8.45,  -0.33,   0.24, time =   50.80
  -8.42,  -0.26,   0.21, time =   50.90
  -8.41,  -0.18,   0.15, time =   51.00
  -8.40,  -0.09,   0.19, time =   51.10
  -8.40,   0.01,   0.18, time =   51.20
  -8.41,   0.10,   0.16, time =   51.30
  -8.42,   0.19,   0.14, time =   51.40
  -8.43,   0.28,   0.14, time =   51.50
  -8.44,   0.37,   0.16, time =   51.60
  -8.45,   0.45,   0.18, time =   51.70
  -8.45,   0.53,   0.20, time =   51.80
  -8.46,   0.60,   0.21, time =   51.90
  -8.46,   0.67,   0.17, time =   52.00
  -8.45,   0.73,   0.15, time =   52.10
  -8.44,   0.79,   0.19, time =   52.20
  -8.43,   0.84,   0.25, time =   52.30
  -8.42,   0.89,   0.32, time =   52.40
  -8.41,   0.93,   0.37, time =   52.50
  -8.40,   0.97,   0.39, time =   52.60
  -8.38,   1.00,   0.39, time =   52.70
  -8.37,   1.03,   0.36, time =   52.80
  -8.36,   1.04,   0.25, time =   52.90
  -8.35,   1.04,   0.15, time =   53.00
  -8.34,   1.02,   0.04, time =   53.10
  -8.33,   0.99,  -0.09, time =   53.20
  -8.33,   0.95,  -0.22, time =   53.30
  -8.33,   0.89,  -0.35, time =   53.40
  -8.33,   0.82,  -0.46, time =   53.50
  -8.35,   0.73,  -0.56, time =   53.60
  -8.37,   0.63,  -0.65, time =   53.70
  -8.39,   0.53,  -0.74, time =   53.80
  -8.43,   0.41,  -0.82, time =   53.90
  -8.46,   0.28,  -0.83, time =   54.00
  -8.50,   0.15,  -0.79, time =   54.10
  -8.52,   0.02,  -0.71, time =   54.20
  -8.55,  -0.11,  -0.60, time =   54.30
  -8.56,  -0.22,  -0.47, time =   54.40
  -8.56,  -0.32,  -0.34, time =   54.50
  -8.54,  -0.40,  -0.23, time =   54.60
  -8.52,  -0.47,  -0.16, time =   54.70
  -8.50,  -0.52,  -0.14, time =   54.80
  -8.46,  -0.56,  -0.15, time =   54.90
  -8.43,  -0.58,  -0.15, time =   55.00
  -8.39,  -0.57,  -0.00, time =   55.10
  -8.36,  -0.55,   0.03, time =   55.20
  -8.33,  -0.50,   0.05, time =   55.30
  -8.31,  -0.45,   0.06, time =   55.40
  -8.29,  -0.38,   0.09, time =   55.50
  -8.29,  -0.30,   0.14, time =   55.60
  -8.28,  -0.22,   0.16, time =   55.70
  -8.29,  -0.13,   0.16, time =   55.80
  -8.29,  -0.05,   0.12, time =   55.90
  -8.30,   0.03,   0.07, time =   56.00
  -8.30,   0.11,   0.02, time =   56.10
  -8.31,   0.19,  -0.01, time =   56.20
  -8.31,   0.26,  -0.01, time =   56.30
